timestamp,left_encoder_count,left_encoder_speed,right_encoder_count,right_encoder_speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,imu_temp,mag_x,mag_y,mag_z,heading
2025-03-02T11:41:33.280577,85958,0.0,57448,0.0,-1.954,0.081,10.262,-0.236,0.038,0.504,26.3,4712,9862,-5610,64.5
2025-03-02T11:41:33.320354,85958,0.0,57448,0.0,-1.92,0.081,10.254,-0.233,0.037,0.509,26.3,4777,9820,-5582,64.1
2025-03-02T11:41:33.398670,85958,0.0,57448,0.0,-1.944,0.09799999,10.319,-0.232,0.031,0.507,26.3,4712,9855,-5567,64.4
2025-03-02T11:41:33.501310,85958,0.0,57448,0.0,-1.949,0.053,10.3,-0.23,0.038,0.512,26.3,4750,9862,-5635,64.3
2025-03-02T11:41:33.601898,85958,0.0,57448,0.0,-1.932,0.09799999,10.319,-0.232,0.04,0.506,26.3,4692,9790,-5610,64.4
2025-03-02T11:41:33.705451,85958,0.0,57448,0.0,-1.932,0.134,10.293,-0.232,0.035,0.508,26.7,4795,9855,-5562,64.1
2025-03-02T11:41:33.809396,85958,0.0,57448,0.0,-1.942,0.11,10.283,-0.236,0.039,0.506,26.3,4735,9867,-5602,64.4
2025-03-02T11:41:33.913613,85958,0.0,57448,0.0,-1.963,0.09099999,10.338,-0.233,0.036,0.507,26.3,4730,9867,-5630,64.4
2025-03-02T11:41:34.018738,85958,0.0,57448,0.0,-1.954,0.096,10.285,-0.234,0.038,0.503,26.2,4757,9892,-5610,64.3
2025-03-02T11:41:34.120941,85958,0.0,57448,0.0,-1.999,0.074,10.283,-0.235,0.037,0.508,26.4,4750,9887,-5582,64.3
2025-03-02T11:41:34.274229,85958,0.0,57448,0.0,-1.954,0.12,10.326,-0.236,0.038,0.505,25.9,4757,9850,-5615,64.2
2025-03-02T11:41:34.369217,85958,0.0,57448,0.0,-1.944,0.086,10.259,-0.235,0.039,0.508,26.4,4687,9887,-5587,64.6
2025-03-02T11:41:34.426572,85958,0.0,57448,0.0,-1.93,0.103,10.266,-0.236,0.032,0.507,26.4,4660,9877,-5577,64.7
2025-03-02T11:41:34.529325,85958,0.0,57448,0.0,-1.939,0.093,10.321,-0.231,0.041,0.504,26.5,4702,9820,-5610,64.4
2025-03-02T11:41:34.632961,85958,0.0,57448,0.0,-1.987,0.117,10.281,-0.239,0.038,0.509,26.3,4750,9855,-5587,64.3
2025-03-02T11:41:34.734853,85958,0.0,57448,0.0,-1.961,0.12,10.297,-0.233,0.037,0.508,26.4,4682,9872,-5610,64.6
2025-03-02T11:41:34.854866,85958,0.0,57448,0.0,-1.92,0.117,10.317,-0.233,0.037,0.509,26.4,4692,9877,-5557,64.6
